epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,22.5307,0.55333,0.95294,0.96452,0.75489,0.53035,0.77104,0.51689,1.63366,1.52999,1.36271,2.82082e-05,2.82082e-05,2.82082e-05
40,22.9368,0.83154,1.01772,1.32428,0.75489,0.53035,0.77104,0.51689,1.63366,1.52999,1.36271,2.84911e-05,2.84911e-05,2.84911e-05
41,23.3801,0.77079,0.95062,1.11038,0.61291,0.5822,0.76496,0.52155,1.58754,1.54809,1.34838,2.87504e-05,2.87504e-05,2.87504e-05
42,23.8009,0.89041,1.29392,1.21194,0.61291,0.5822,0.76496,0.52155,1.58754,1.54809,1.34838,2.89861e-05,2.89861e-05,2.89861e-05
43,24.2638,0.6585,1.16558,1.1648,0.58573,0.52367,0.73724,0.50526,1.55725,1.58522,1.33412,2.91983e-05,2.91983e-05,2.91983e-05
44,24.6571,0.98425,2.186,1.37928,0.58573,0.52367,0.73724,0.50526,1.55725,1.58522,1.33412,2.93869e-05,2.93869e-05,2.93869e-05
45,25.0932,0.77303,1.2691,1.22922,0.584,0.5216,0.58519,0.35949,1.57158,1.6426,1.3362,2.9552e-05,2.9552e-05,2.9552e-05
46,25.5001,0.92801,1.43946,1.27324,0.584,0.5216,0.58519,0.35949,1.57158,1.6426,1.3362,2.96935e-05,2.96935e-05,2.96935e-05
47,25.9409,1.1901,1.57282,1.48881,0.74871,0.48333,0.54926,0.32149,1.62255,1.69544,1.36186,2.98114e-05,2.98114e-05,2.98114e-05
48,26.3469,0.90934,0.74914,1.30264,0.74871,0.48333,0.54926,0.32149,1.62255,1.69544,1.36186,2.99058e-05,2.99058e-05,2.99058e-05
49,26.8149,0.72087,0.96922,1.17749,0.74515,0.48333,0.54093,0.31316,1.61457,1.71235,1.37002,2.99766e-05,2.99766e-05,2.99766e-05
50,27.2192,0.81658,0.99097,1.21044,0.74515,0.48333,0.54093,0.31316,1.61457,1.71235,1.37002,3.00238e-05,3.00238e-05,3.00238e-05
