epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,374.278,0.09927,0.11384,0.29604,0.13348,0.90477,1,1,0.995,0.99481,1,1,0.995,0.95795,0.25527,0.255,0.11616,0.25817,0.37855,0.0008912,0.0008912,0.0008912
30,385.965,0.09279,0.11169,0.28458,0.12393,0.90387,1,1,0.995,0.995,1,1,0.995,0.96825,0.14603,0.21101,0.13427,0.21119,0.2313,0.0008516,0.0008516,0.0008516
31,397.699,0.09208,0.11615,0.2884,0.12495,0.89369,0.99938,1,0.995,0.995,0.99938,1,0.995,0.96171,0.22055,0.20463,0.17613,0.27969,0.34555,0.000812,0.000812,0.000812
32,409.423,0.09106,0.11535,0.28799,0.12391,0.90387,1,1,0.995,0.995,1,1,0.995,0.97221,0.22176,0.19903,0.14037,0.22087,0.32735,0.0007724,0.0007724,0.0007724
33,422.08,0.09014,0.10811,0.28162,0.12302,0.90391,0.99939,1,0.995,0.995,0.99939,1,0.995,0.98764,0.24086,0.19508,0.14623,0.31655,0.34501,0.0007328,0.0007328,0.0007328
34,434.9,0.09222,0.10682,0.27944,0.12633,0.90425,0.99925,1,0.995,0.995,0.99925,1,0.995,0.96347,0.22409,0.21836,0.30459,0.29971,0.33011,0.0006932,0.0006932,0.0006932
35,448.756,0.08718,0.10554,0.29213,0.12271,0.90813,0.99939,1,0.995,0.995,0.99939,1,0.995,0.98587,0.27841,0.19996,0.17152,0.28406,0.38744,0.0006536,0.0006536,0.0006536
36,462.042,0.08077,0.10384,0.27362,0.10859,0.89733,0.99939,1,0.995,0.995,0.99939,1,0.995,0.97288,0.28118,0.20711,0.15196,0.30486,0.40459,0.000614,0.000614,0.000614
37,473.61,0.08071,0.10567,0.27547,0.10946,0.89236,0.99939,1,0.995,0.995,0.99939,1,0.995,0.9781,0.23482,0.20391,0.13033,0.29627,0.33956,0.0005744,0.0005744,0.0005744
38,485.125,0.07633,0.10884,0.27425,0.11458,0.8967,1,1,0.995,0.995,1,1,0.995,0.98443,0.22025,0.18373,0.12087,0.2558,0.34388,0.0005348,0.0005348,0.0005348
