epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,513.107,1.1062,1.64557,0.73936,1.03921,0.87282,0.91198,0.92697,0.66448,0.72931,0.76934,0.71538,0.26044,1.12324,1.42842,0.7213,1.14718,0.000709809,0.000709809,0.000709809
31,530.008,1.10778,1.67168,0.72872,1.04837,0.93193,0.88782,0.94368,0.63803,0.77381,0.74421,0.70519,0.25448,1.2187,1.47751,0.72143,1.19532,0.000676802,0.000676802,0.000676802
32,547.707,1.1482,1.6914,0.7608,1.06986,0.872,0.84465,0.91506,0.6448,0.75994,0.73279,0.71355,0.27169,1.17347,1.48483,0.78484,1.18043,0.000643795,0.000643795,0.000643795
33,564.789,1.11905,1.65673,0.74389,1.06902,0.86151,0.868,0.93652,0.64499,0.66697,0.6768,0.62021,0.23169,1.16493,1.5676,0.75914,1.14406,0.000610789,0.000610789,0.000610789
34,581.831,1.09697,1.65016,0.72316,1.037,0.9802,0.93315,0.98515,0.70075,0.80265,0.81431,0.77089,0.2917,1.10245,1.44392,0.54652,1.1072,0.000577782,0.000577782,0.000577782
35,599.1,1.10605,1.63682,0.72868,1.04554,0.93014,0.91091,0.96457,0.67244,0.82778,0.80926,0.78658,0.27612,1.17377,1.40963,0.61342,1.16973,0.000544776,0.000544776,0.000544776
36,617.551,1.07237,1.60944,0.69861,1.03153,0.922,0.88613,0.95319,0.67968,0.74471,0.78297,0.7264,0.27683,1.11452,1.43485,0.62655,1.12318,0.000511769,0.000511769,0.000511769
37,634.864,1.07904,1.59367,0.71072,1.04212,0.91865,0.913,0.9591,0.70036,0.80964,0.79776,0.78386,0.29019,1.06084,1.37438,0.58582,1.10644,0.000478762,0.000478762,0.000478762
38,653.238,1.07879,1.62172,0.68835,1.04341,0.93728,0.92582,0.97368,0.68879,0.7986,0.78571,0.74902,0.26876,1.11298,1.44226,0.59491,1.13322,0.000445756,0.000445756,0.000445756
39,670.035,1.07805,1.59829,0.6967,1.03951,0.95904,0.93197,0.98375,0.69601,0.78988,0.77152,0.75349,0.27219,1.10806,1.41798,0.57071,1.1215,0.000412749,0.000412749,0.000412749
40,687.19,1.05235,1.58585,0.66628,1.02816,0.95741,0.97558,0.99026,0.70847,0.80889,0.80769,0.75634,0.28955,1.12296,1.38069,0.51957,1.12753,0.000379743,0.000379743,0.000379743
41,726.319,0.97208,1.40452,0.56177,1.03175,0.93931,0.93439,0.98219,0.70614,0.8222,0.80311,0.79293,0.28851,1.07847,1.42655,0.56863,1.11357,0.000346736,0.000346736,0.000346736
42,742.952,0.95595,1.3515,0.54967,1.01867,0.96432,0.98123,0.99057,0.70757,0.81366,0.82784,0.79433,0.3047,1.10037,1.4158,0.52307,1.11281,0.000313729,0.000313729,0.000313729
43,757.692,0.94648,1.3547,0.54428,1.01437,0.96283,0.96383,0.98544,0.71745,0.78879,0.79716,0.75272,0.28838,1.07949,1.41091,0.52502,1.09352,0.000280723,0.000280723,0.000280723
44,772.944,0.94814,1.34297,0.53755,1.01846,0.96102,0.972,0.98849,0.71687,0.83045,0.82051,0.77284,0.29031,1.08788,1.39076,0.52886,1.11294,0.000247716,0.000247716,0.000247716
45,788.878,0.93278,1.32105,0.52706,1.00581,0.97075,0.94118,0.98476,0.71406,0.81766,0.79331,0.7696,0.28095,1.06116,1.36535,0.52629,1.09832,0.00021471,0.00021471,0.00021471
46,805.741,0.9233,1.30108,0.51823,1.00536,0.97606,0.97285,0.99036,0.70691,0.82061,0.8172,0.76609,0.2944,1.10953,1.36365,0.50653,1.12537,0.000181703,0.000181703,0.000181703
47,822.248,0.9022,1.27244,0.50961,0.9951,0.95704,0.97905,0.98741,0.71635,0.82155,0.82738,0.79516,0.29819,1.06879,1.38849,0.50524,1.12052,0.000148696,0.000148696,0.000148696
48,839.113,0.89997,1.26717,0.50294,0.99416,0.97846,0.98764,0.9932,0.7293,0.78921,0.78959,0.75203,0.3004,1.07098,1.385,0.48376,1.11503,0.00011569,0.00011569,0.00011569
49,856.324,0.88778,1.27344,0.50006,0.98561,0.95508,0.96699,0.98405,0.69881,0.79631,0.80615,0.75263,0.28298,1.11015,1.40777,0.53105,1.14119,8.26832e-05,8.26832e-05,8.26832e-05
50,873.726,0.87237,1.2377,0.4907,0.99401,0.98741,0.9855,0.99329,0.72607,0.81346,0.80979,0.76165,0.29602,1.07523,1.35987,0.48177,1.1178,4.96766e-05,4.96766e-05,4.96766e-05
